num_barri,barri,num_districte
1,El Raval,1
2,Barrio Gótico,1
3,La Barceloneta,1
4,"San Pedro, Santa Catalina y la Ribera",1
5,El Fort Pienc,2
6,Sagrada Familia,2
7,La Derecha del Ensanche,2
8,La Antigua Izquierda del Ensanche,2
9,La Nueva Izquierda del Ensanche,2
10,San Antonio,2
11,Pueblo Seco,3
12,La Marina del Prat Vermell,3
13,La Marina de Port,3
14,La Font de la Guatlla,3
15,Hostafrancs,3
16,La Bordeta,3
17,Sants-Badal,3
18,Sants,3
19,Zona Franca,4
20,Montjuïc,4
21,Les Corts,4
22,La Maternidad y San Ramón,5
23,Pedralbes,5
24,"Vallvidrera, el Tibidabo i les Planes",5
25,Sarriá,5
26,Las Tres Torres,5
27,Sant Gervasi-Bonanova,5
28,Sant Gervasi-Galvan,6
29,El Putxet i el Farró,6
30,Vallcarca y los Penitentes,6
31,El Coll,6
32,La Salud,6
33,Villa de Gracia,7
34,Camp d'en Grassot i Gràcia Nova,7
35,Baix Guinardó,7
36,Can Baró,7
37,El Guinardó,7
38,La Font d'en Fargues,7
39,El Carmelo,7
40,La Teixonera,7
41,Sant Genís dels Agudells,7
42,Montbau,7
43,El Valle de Hebrón,7
44,La Clota,8
45,Horta,8
46,Vilapicina y La Torre Llobeta,8
47,Porta,8
48,Turó de la Peira,8
49,Can Peguera,8
50,La Guineueta,8
51,Canyelles,8
52,Les Roquetes,8
53,Verdún,8
54,La Prosperitat,8
55,La Trinitat Nova,8
56,Torre Baró,8
57,Ciudad Meridiana,9
58,Vallbona,9
59,La Trinitat Vella,9
60,Baró de Viver,9
61,El Buen Pastor,9
62,San Andrés,9
63,La Sagrera,9
64,Congrés i els Indians,10
65,Navas,10
66,El Campo del Arpa del Clot,10
67,El Clot,10
68,El Parc i la Llacuna del Poblenou,10
69,La Villa Olímpica del Poblenou,10
70,Pueblo Nuevo,10
71,Diagonal Mar i Front Marítim del Poblenou,10
72,El Besós y el Maresme,10
73,Provençals del Poblenou,10
